map,method,all_med,bad_med,bnd_med,gross_pct
245,noisy (no filter),0.528417,42.263644,0.569347,4.9622
245,unet,0.071253,1.143060,0.095377,0.4761
246,noisy (no filter),0.529004,41.787126,0.568256,4.9561
246,unet,0.072065,1.193908,0.095463,0.5920
247,noisy (no filter),0.532492,42.135702,0.580572,4.9744
247,unet,0.070767,1.566613,0.096458,0.6714
248,noisy (no filter),0.526323,42.336656,0.562584,4.9988
248,unet,0.068380,1.267391,0.089302,0.6470
249,noisy (no filter),0.524665,41.871907,0.592045,4.9683
249,unet,0.068365,1.065297,0.090858,0.2808
250,noisy (no filter),0.516392,42.052773,0.569747,4.9561
250,unet,0.072363,1.196731,0.094405,0.4944
251,noisy (no filter),0.529790,42.710095,0.577007,4.9866
251,unet,0.070237,1.175807,0.091970,0.5066
252,noisy (no filter),0.525437,43.103048,0.572963,4.9683
252,unet,0.070373,1.519276,0.092926,0.7324
253,noisy (no filter),0.525126,42.296387,0.563138,4.9500
253,unet,0.070598,1.109676,0.090419,0.3906
254,noisy (no filter),0.525350,42.715669,0.575291,4.9500
254,unet,0.070994,1.407157,0.093643,0.5310
255,noisy (no filter),0.527753,42.470348,0.584380,4.9500
255,unet,0.070575,1.257523,0.094019,0.5127
256,noisy (no filter),0.527521,41.868111,0.571852,4.9561
256,unet,0.071151,1.239953,0.094081,0.5432
257,noisy (no filter),0.528034,42.584521,0.582714,4.9133
257,unet,0.071268,1.272975,0.092083,0.5066
258,noisy (no filter),0.532300,42.733229,0.597399,4.9622
258,unet,0.070616,1.323826,0.092919,0.5737
259,noisy (no filter),0.524908,42.129387,0.577701,4.9805
259,unet,0.069440,1.220008,0.090524,0.5066
260,noisy (no filter),0.524879,42.344971,0.559121,4.9561
260,unet,0.068835,1.164524,0.091506,0.4822
261,noisy (no filter),0.526429,41.229830,0.576514,4.9683
261,unet,0.070482,1.090308,0.093474,0.3845
262,noisy (no filter),0.518524,42.739752,0.592233,4.9622
262,unet,0.070183,1.201145,0.092166,0.4333
263,noisy (no filter),0.522689,42.199168,0.553858,4.9683
263,unet,0.068851,1.054405,0.092017,0.4700
264,noisy (no filter),0.519814,43.431948,0.551977,4.9438
264,unet,0.068900,1.235103,0.090134,0.5310
265,noisy (no filter),0.525734,42.336558,0.571923,4.9561
265,unet,0.072624,1.106088,0.094774,0.4028
266,noisy (no filter),0.531087,42.232652,0.584697,4.9561
266,unet,0.070767,1.194525,0.096980,0.3418
267,noisy (no filter),0.520804,41.849121,0.586175,4.9622
267,unet,0.070445,1.150697,0.094004,0.3845
268,noisy (no filter),0.522479,42.017331,0.580236,4.9622
268,unet,0.072400,1.093741,0.096028,0.4578
269,noisy (no filter),0.526758,42.414654,0.567403,4.9561
269,unet,0.069728,1.134271,0.094495,0.4456
270,noisy (no filter),0.530848,42.909730,0.570379,4.9744
270,unet,0.071759,1.174002,0.092825,0.5859
271,noisy (no filter),0.527177,42.244191,0.575399,4.9805
271,unet,0.069500,1.304845,0.090105,0.5066
272,noisy (no filter),0.529906,42.438717,0.581749,4.9622
272,unet,0.071306,1.219620,0.093779,0.5493
273,noisy (no filter),0.526063,42.871666,0.575679,4.9622
273,unet,0.070112,1.347978,0.094120,0.5371
274,noisy (no filter),0.527662,42.965092,0.553602,4.9805
274,unet,0.069877,1.026537,0.091678,0.4639
275,noisy (no filter),0.530686,42.943391,0.555771,4.9683
275,unet,0.070278,1.186122,0.092918,0.3845
276,noisy (no filter),0.521862,42.326987,0.555096,4.9927
276,unet,0.068047,1.046546,0.089219,0.3784
277,noisy (no filter),0.527135,42.617836,0.583493,4.9500
277,unet,0.073238,1.272233,0.094054,0.4517
278,noisy (no filter),0.525415,41.625164,0.565210,4.9744
278,unet,0.069204,1.238188,0.092266,0.4517
279,noisy (no filter),0.530813,41.929365,0.581122,4.9866
279,unet,0.071046,1.037925,0.093154,0.4395
280,noisy (no filter),0.524510,42.571516,0.579395,4.9622
280,unet,0.069337,1.170134,0.089960,0.4883
281,noisy (no filter),0.523968,42.277079,0.586801,4.9744
281,unet,0.071979,1.232511,0.096246,0.4517
282,noisy (no filter),0.526627,42.282280,0.558183,4.9438
282,unet,0.070176,1.202150,0.092870,0.5615
283,noisy (no filter),0.529274,42.446767,0.580315,4.9927
283,unet,0.074729,1.183866,0.097863,0.4883
284,noisy (no filter),0.524697,42.266519,0.582330,4.9744
284,unet,0.071544,1.156865,0.092199,0.4211
285,noisy (no filter),0.526664,43.090302,0.568728,4.9744
285,unet,0.069043,1.173701,0.093312,0.3601
286,noisy (no filter),0.526698,42.342704,0.571526,4.9744
286,unet,0.071088,1.347984,0.092391,0.5188
287,noisy (no filter),0.530594,42.254514,0.560904,4.9683
287,unet,0.069459,1.142968,0.090160,0.4761
288,noisy (no filter),0.519376,43.410825,0.565925,4.9744
288,unet,0.068142,1.224934,0.091734,0.5127
289,noisy (no filter),0.528251,42.132293,0.552188,4.9561
289,unet,0.070523,1.012959,0.091066,0.4089
290,noisy (no filter),0.522967,41.827915,0.585804,4.9805
290,unet,0.068149,1.146780,0.092285,0.4089
291,noisy (no filter),0.525521,42.625632,0.583921,4.9561
291,unet,0.067368,1.048952,0.089989,0.3662
292,noisy (no filter),0.529945,42.379528,0.575639,4.9744
292,unet,0.071711,1.355574,0.092566,0.6104
293,noisy (no filter),0.530244,42.340780,0.564611,4.9622
293,unet,0.069202,1.274950,0.091907,0.4456
294,noisy (no filter),0.533638,41.704837,0.574745,4.9561
294,unet,0.070617,1.365526,0.095529,0.4822
295,noisy (no filter),0.533143,42.633833,0.580162,4.9438
295,unet,0.068803,1.282603,0.088628,0.5066
296,noisy (no filter),0.527427,41.973699,0.577710,4.9744
296,unet,0.068047,1.049719,0.093027,0.3296
297,noisy (no filter),0.530255,41.560947,0.571291,4.9377
297,unet,0.068729,1.285819,0.088435,0.4639
298,noisy (no filter),0.525831,42.323437,0.562237,4.9622
298,unet,0.069842,1.058735,0.091441,0.4150
299,noisy (no filter),0.526354,43.357324,0.564692,4.9805
299,unet,0.071186,1.289510,0.092991,0.5493
300,noisy (no filter),0.534280,42.702411,0.569446,4.9316
300,unet,0.070033,1.111979,0.093134,0.4456
301,noisy (no filter),0.529020,42.815461,0.567250,4.9622
301,unet,0.070885,1.227589,0.092561,0.4822
302,noisy (no filter),0.525691,42.537683,0.551153,4.9866
302,unet,0.072204,1.142516,0.093393,0.5005
303,noisy (no filter),0.519785,42.381455,0.574405,4.9683
303,unet,0.070980,1.379452,0.095363,0.5066
304,noisy (no filter),0.526827,42.336012,0.556145,4.9744
304,unet,0.068932,1.114493,0.089617,0.5737
305,noisy (no filter),0.522815,42.116618,0.582961,4.9561
305,unet,0.069970,1.093305,0.092089,0.4150
306,noisy (no filter),0.526276,41.666710,0.569863,4.9744
306,unet,0.072035,1.158695,0.092640,0.4395
307,noisy (no filter),0.532463,42.277613,0.559397,4.9561
307,unet,0.073596,1.269112,0.092281,0.5371
308,noisy (no filter),0.527079,41.413692,0.560226,4.9622
308,unet,0.070672,1.114854,0.092786,0.4333
309,noisy (no filter),0.524566,42.276662,0.566855,4.9805
309,unet,0.065634,1.213570,0.093223,0.2136
310,noisy (no filter),0.521267,42.848715,0.580954,4.9500
310,unet,0.069522,1.294805,0.092550,0.4578
311,noisy (no filter),0.518594,41.909829,0.555838,4.9438
311,unet,0.069831,1.159691,0.096693,0.3967
312,noisy (no filter),0.528279,43.175937,0.566334,4.9744
312,unet,0.069966,1.080900,0.094047,0.4211
313,noisy (no filter),0.529977,41.965789,0.565981,4.9500
313,unet,0.067804,1.116088,0.090556,0.4028
314,noisy (no filter),0.527330,42.679909,0.590874,4.9561
314,unet,0.069511,1.169382,0.093229,0.4700
315,noisy (no filter),0.524338,42.193416,0.564523,4.9622
315,unet,0.070382,1.218450,0.091818,0.4700
316,noisy (no filter),0.536483,41.975818,0.593910,4.9500
316,unet,0.070607,1.129696,0.094483,0.4883
317,noisy (no filter),0.519685,41.055021,0.563365,4.9622
317,unet,0.072235,1.200284,0.095395,0.5615
318,noisy (no filter),0.524705,42.564401,0.573613,4.9561
318,unet,0.070202,1.095934,0.094183,0.4822
319,noisy (no filter),0.518863,41.069046,0.539802,4.9744
319,unet,0.067796,1.290578,0.088003,0.5127
320,noisy (no filter),0.529197,42.475770,0.583523,4.9805
320,unet,0.071714,1.139370,0.095676,0.5127
321,noisy (no filter),0.533301,41.828565,0.572521,4.9561
321,unet,0.071624,1.186468,0.093719,0.5432
322,noisy (no filter),0.527910,43.062512,0.575918,4.9927
322,unet,0.072525,1.052804,0.095329,0.4517
323,noisy (no filter),0.523054,42.636549,0.562507,4.9377
323,unet,0.073155,1.134601,0.093635,0.4517
324,noisy (no filter),0.525674,42.075460,0.590365,4.9500
324,unet,0.069298,1.108235,0.096251,0.3174
325,noisy (no filter),0.526443,42.206548,0.562175,4.9561
325,unet,0.070685,1.177689,0.091952,0.5554
326,noisy (no filter),0.522553,42.787519,0.577018,4.9683
326,unet,0.069514,1.019310,0.090915,0.4028
327,noisy (no filter),0.526021,42.258932,0.587221,4.9805
327,unet,0.067749,1.003330,0.091826,0.2930
328,noisy (no filter),0.526535,41.854980,0.577127,4.9316
328,unet,0.070574,1.162905,0.092141,0.4211
329,noisy (no filter),0.526451,42.367896,0.587027,4.9744
329,unet,0.071116,1.097442,0.093739,0.4395
330,noisy (no filter),0.523695,42.380611,0.575360,4.9622
330,unet,0.067559,1.159852,0.089559,0.5981
331,noisy (no filter),0.523882,42.022772,0.568169,4.9927
331,unet,0.072551,1.141250,0.092046,0.4089
332,noisy (no filter),0.528832,43.228092,0.577180,4.9744
332,unet,0.068163,1.154622,0.092464,0.5188
333,noisy (no filter),0.523093,41.763071,0.568981,4.9744
333,unet,0.068942,1.139914,0.092106,0.3906
334,noisy (no filter),0.528813,42.415929,0.580000,4.9561
334,unet,0.068989,1.248127,0.090546,0.4822
335,noisy (no filter),0.524796,42.604405,0.580754,4.9683
335,unet,0.071899,1.184518,0.095509,0.5371
336,noisy (no filter),0.527074,43.065908,0.580026,4.9683
336,unet,0.068590,1.165909,0.092577,0.4944
337,noisy (no filter),0.527243,42.081951,0.574917,4.9744
337,unet,0.070724,1.310219,0.093521,0.5188
338,noisy (no filter),0.526332,41.968634,0.578428,4.9744
338,unet,0.068428,1.113969,0.094352,0.5554
339,noisy (no filter),0.524578,41.687489,0.551729,4.9805
339,unet,0.067795,1.085258,0.091048,0.5005
340,noisy (no filter),0.529910,42.101778,0.573811,4.9744
340,unet,0.070663,1.095370,0.093870,0.3662
341,noisy (no filter),0.523119,41.242544,0.559375,4.9683
341,unet,0.070404,1.108212,0.091595,0.4883
342,noisy (no filter),0.530415,40.872367,0.585450,4.9561
342,unet,0.071199,1.279435,0.093403,0.4456
343,noisy (no filter),0.527327,42.403865,0.570361,4.9744
343,unet,0.071884,1.301167,0.092465,0.4395
344,noisy (no filter),0.532844,42.255829,0.584998,4.9622
344,unet,0.069210,1.208531,0.091789,0.5005
345,noisy (no filter),0.529795,42.431947,0.566332,4.9561
345,unet,0.072208,1.187573,0.094555,0.5066
346,noisy (no filter),0.523318,42.468011,0.577830,4.9866
346,unet,0.068473,1.132951,0.092848,0.4517
347,noisy (no filter),0.521550,41.984915,0.556866,4.9683
347,unet,0.070954,1.104997,0.091426,0.4700
348,noisy (no filter),0.521967,42.179625,0.574121,4.9866
348,unet,0.070874,1.232423,0.089484,0.4517
349,noisy (no filter),0.521967,42.911639,0.581019,4.9561
349,unet,0.068572,1.124987,0.091809,0.4639
350,noisy (no filter),0.519987,43.019082,0.551624,4.9438
350,unet,0.070626,1.254436,0.090961,0.4578
351,noisy (no filter),0.531798,42.432003,0.560262,4.9683
351,unet,0.070626,1.286971,0.092081,0.4395
352,noisy (no filter),0.532776,42.668860,0.584259,4.9438
352,unet,0.068710,1.233466,0.090309,0.4822
353,noisy (no filter),0.525826,41.460142,0.585422,4.9744
353,unet,0.070874,1.181014,0.093575,0.6165
354,noisy (no filter),0.528745,42.403829,0.571152,4.9866
354,unet,0.068218,1.333259,0.091316,0.5676
355,noisy (no filter),0.526421,42.075096,0.564004,4.9622
355,unet,0.071865,1.138917,0.093121,0.6165
356,noisy (no filter),0.531405,42.687576,0.592757,4.9683
356,unet,0.069055,1.118642,0.089240,0.3906
357,noisy (no filter),0.524490,42.050676,0.589832,4.9377
357,unet,0.068376,1.130756,0.092586,0.5066
358,noisy (no filter),0.523658,43.363914,0.578954,4.9561
358,unet,0.069088,1.168865,0.091870,0.5005
359,noisy (no filter),0.530717,42.152914,0.557529,4.9622
359,unet,0.071389,1.105875,0.093085,0.3906
360,noisy (no filter),0.528284,42.412299,0.565550,4.9805
360,unet,0.070496,1.201957,0.093922,0.4517
361,noisy (no filter),0.519285,41.551571,0.567148,4.9866
361,unet,0.071392,1.253887,0.090524,0.5371
362,noisy (no filter),0.525090,42.657832,0.569234,4.9622
362,unet,0.068148,1.286759,0.089013,0.3723
363,noisy (no filter),0.516950,42.495932,0.579646,4.9866
363,unet,0.068431,1.296890,0.087829,0.5493
364,noisy (no filter),0.528929,41.682604,0.562332,4.9683
364,unet,0.069273,1.129804,0.090596,0.4028
365,noisy (no filter),0.532107,42.146668,0.563756,4.9683
365,unet,0.071363,1.159808,0.092612,0.5554
366,noisy (no filter),0.529422,42.270526,0.569143,4.9866
366,unet,0.070698,1.185187,0.097348,0.4089
367,noisy (no filter),0.526093,41.567171,0.576724,4.9500
367,unet,0.071984,1.333346,0.095092,0.4150
368,noisy (no filter),0.527657,42.800763,0.557844,4.9744
368,unet,0.070480,1.377899,0.090831,0.5188
369,noisy (no filter),0.525756,41.626725,0.574675,4.9744
369,unet,0.072683,1.264237,0.096895,0.5676
370,noisy (no filter),0.520535,42.570495,0.547869,4.9561
370,unet,0.067196,0.999628,0.091627,0.4089
371,noisy (no filter),0.524991,42.048657,0.578248,4.9683
371,unet,0.069305,0.980114,0.088901,0.4578
372,noisy (no filter),0.531362,41.939042,0.592117,4.9683
372,unet,0.068948,1.411848,0.093706,0.6592
373,noisy (no filter),0.529824,42.114241,0.579005,4.9500
373,unet,0.071488,1.183872,0.095356,0.5066
374,noisy (no filter),0.525934,42.019112,0.573122,4.9438
374,unet,0.070067,1.239402,0.095910,0.3967
375,noisy (no filter),0.521250,41.672368,0.584214,4.9744
375,unet,0.070983,1.220140,0.089905,0.5493
376,noisy (no filter),0.522152,42.080682,0.569488,4.9683
376,unet,0.072079,1.149334,0.094109,0.3479
377,noisy (no filter),0.529719,42.757371,0.583887,4.9683
377,unet,0.067796,1.147494,0.090524,0.5127
378,noisy (no filter),0.528061,42.034921,0.588009,4.9683
378,unet,0.069012,1.188019,0.094148,0.4700
379,noisy (no filter),0.525152,41.783316,0.564104,4.9561
379,unet,0.070288,1.224858,0.091395,0.5066
380,noisy (no filter),0.528545,41.556295,0.583210,4.9561
380,unet,0.069054,1.205201,0.095237,0.3723
381,noisy (no filter),0.527386,43.433431,0.562575,4.9561
381,unet,0.070451,1.256850,0.090869,0.5127
382,noisy (no filter),0.532548,43.865281,0.582126,4.9316
382,unet,0.071370,1.274992,0.094426,0.4578
383,noisy (no filter),0.513593,41.866940,0.551962,4.9622
383,unet,0.068882,1.276743,0.090201,0.4333
384,noisy (no filter),0.526918,41.757818,0.550650,4.9561
384,unet,0.071555,1.305669,0.095412,0.5737
385,noisy (no filter),0.524546,42.301601,0.558214,4.9683
385,unet,0.069677,1.169939,0.093239,0.4700
386,noisy (no filter),0.522862,42.868412,0.570780,4.9622
386,unet,0.070111,1.219497,0.094321,0.5676
387,noisy (no filter),0.526791,42.973120,0.578514,4.9866
387,unet,0.070587,1.210576,0.090469,0.3845
388,noisy (no filter),0.527368,42.594286,0.579630,4.9927
388,unet,0.070003,1.267843,0.093503,0.5737
389,noisy (no filter),0.522767,41.897063,0.570422,4.9744
389,unet,0.071045,1.155936,0.093158,0.4089
390,noisy (no filter),0.524007,43.268229,0.568327,4.9561
390,unet,0.069183,1.132759,0.091375,0.4395
391,noisy (no filter),0.523051,42.404971,0.583523,4.9561
391,unet,0.068134,1.044567,0.090349,0.3540
392,noisy (no filter),0.530528,42.288035,0.588349,4.9377
392,unet,0.071507,1.181955,0.095206,0.4395
393,noisy (no filter),0.528893,42.500130,0.581813,4.9500
393,unet,0.070892,1.121974,0.098019,0.3662
394,noisy (no filter),0.525612,42.414627,0.576234,4.9683
394,unet,0.067451,1.222019,0.089874,0.6226
395,noisy (no filter),0.527284,41.769257,0.590957,4.9622
395,unet,0.069156,1.317538,0.092260,0.5310
396,noisy (no filter),0.524898,41.915748,0.569650,4.9683
396,unet,0.069489,1.105626,0.091624,0.4333
397,noisy (no filter),0.529024,41.999313,0.588812,4.9561
397,unet,0.072850,1.028872,0.093465,0.5066
398,noisy (no filter),0.523705,42.217729,0.573045,4.9561
398,unet,0.069859,1.120392,0.092898,0.4456
399,noisy (no filter),0.526193,42.834499,0.591356,4.9683
399,unet,0.070195,1.269923,0.093668,0.5005
400,noisy (no filter),0.517191,42.444509,0.582741,4.9744
400,unet,0.072151,1.499416,0.095468,0.4517
401,noisy (no filter),0.534037,42.186405,0.566444,4.9744
401,unet,0.072572,1.316216,0.094345,0.5066
402,noisy (no filter),0.533320,42.843162,0.581441,4.9866
402,unet,0.072496,1.005184,0.094951,0.3784
403,noisy (no filter),0.529998,41.784178,0.564611,4.9805
403,unet,0.072709,1.173522,0.094281,0.4395
404,noisy (no filter),0.528816,42.859767,0.580036,4.9622
404,unet,0.069526,1.071681,0.093579,0.4089
405,noisy (no filter),0.528401,41.044911,0.580053,4.9805
405,unet,0.071740,1.175330,0.092162,0.5310
406,noisy (no filter),0.526842,42.658194,0.569947,4.9561
406,unet,0.070345,1.209354,0.092725,0.4639
407,noisy (no filter),0.532913,42.528582,0.586518,4.9255
407,unet,0.070686,1.170027,0.093381,0.5005
408,noisy (no filter),0.524493,42.619952,0.582087,4.9255
408,unet,0.068774,1.124906,0.090967,0.3479
409,noisy (no filter),0.528007,41.625705,0.590650,4.9255
409,unet,0.072358,1.276619,0.095210,0.5554
410,noisy (no filter),0.525785,43.671799,0.573420,4.9866
410,unet,0.070946,1.161411,0.093425,0.5554
411,noisy (no filter),0.531501,42.710719,0.571063,4.9988
411,unet,0.070279,1.162927,0.093804,0.5371
412,noisy (no filter),0.527321,41.917298,0.570909,4.9377
412,unet,0.070329,1.097462,0.093547,0.4639
413,noisy (no filter),0.529567,41.376644,0.578874,4.9622
413,unet,0.071707,1.225872,0.094408,0.4456
414,noisy (no filter),0.527801,42.529651,0.576723,4.9683
414,unet,0.070426,1.244359,0.094687,0.5310
415,noisy (no filter),0.523313,41.497329,0.567937,4.9500
415,unet,0.071765,1.134509,0.095221,0.5737
416,noisy (no filter),0.521512,42.206912,0.579843,4.9683
416,unet,0.070319,1.280251,0.094151,0.5310
417,noisy (no filter),0.529627,42.290904,0.571442,4.9622
417,unet,0.069887,1.298192,0.095496,0.5066
418,noisy (no filter),0.526663,41.451421,0.569820,4.9622
418,unet,0.070769,1.109732,0.094511,0.4944
419,noisy (no filter),0.524339,42.452470,0.572502,4.9683
419,unet,0.068400,1.056222,0.092319,0.5249
420,noisy (no filter),0.526637,42.350475,0.575181,4.9622
420,unet,0.070680,1.121235,0.092352,0.4639
421,noisy (no filter),0.523080,42.259493,0.559969,4.9561
421,unet,0.070717,1.012318,0.090896,0.4211
422,noisy (no filter),0.529453,42.043219,0.585534,4.9500
422,unet,0.071482,1.139131,0.091139,0.4150
423,noisy (no filter),0.524040,42.272544,0.571903,4.9622
423,unet,0.073692,1.297815,0.096860,0.5310
424,noisy (no filter),0.529400,41.878058,0.571284,4.9805
424,unet,0.071042,1.219130,0.092563,0.4822
425,noisy (no filter),0.526405,42.672258,0.578863,4.9622
425,unet,0.070471,1.229417,0.090446,0.5676
426,noisy (no filter),0.524199,42.828473,0.569990,4.9561
426,unet,0.069491,1.137580,0.089632,0.4578
427,noisy (no filter),0.534787,43.514499,0.574685,4.9561
427,unet,0.071986,1.172080,0.094493,0.4700
428,noisy (no filter),0.527230,41.526967,0.577831,4.9500
428,unet,0.072044,1.289340,0.091451,0.4517
429,noisy (no filter),0.532174,42.265659,0.583196,4.9622
429,unet,0.071977,1.135129,0.093270,0.5127
430,noisy (no filter),0.534073,42.151076,0.602239,4.9500
430,unet,0.071062,1.193829,0.097379,0.3784
431,noisy (no filter),0.521195,40.814497,0.572378,4.9438
431,unet,0.068544,1.007470,0.090982,0.4272
432,noisy (no filter),0.523886,42.900878,0.581190,4.9744
432,unet,0.069387,1.061070,0.090023,0.4761
433,noisy (no filter),0.525949,42.193734,0.574876,4.9744
433,unet,0.070325,1.262371,0.092873,0.5859
434,noisy (no filter),0.524811,42.335824,0.567811,4.9500
434,unet,0.069490,1.004170,0.092464,0.3784
435,noisy (no filter),0.526319,41.990814,0.561437,4.9622
435,unet,0.069721,1.166233,0.091685,0.4700
436,noisy (no filter),0.528245,41.850625,0.582576,4.9500
436,unet,0.070340,1.279309,0.093447,0.6348
437,noisy (no filter),0.528520,42.369177,0.586614,4.9866
437,unet,0.068794,1.122982,0.091924,0.5371
438,noisy (no filter),0.535191,42.517262,0.589426,4.9561
438,unet,0.070337,1.184716,0.091807,0.4456
439,noisy (no filter),0.524221,42.526533,0.560696,4.9561
439,unet,0.072720,1.296520,0.094880,0.4456
440,noisy (no filter),0.520206,41.311810,0.580780,4.9500
440,unet,0.071102,1.369255,0.092550,0.5249
441,noisy (no filter),0.532320,42.517410,0.586219,4.9744
441,unet,0.073122,1.204686,0.096349,0.5371
442,noisy (no filter),0.521981,43.104876,0.570879,4.9561
442,unet,0.070791,1.208696,0.092145,0.4028
443,noisy (no filter),0.527816,41.902159,0.582812,4.9744
443,unet,0.070786,1.285264,0.093067,0.4822
444,noisy (no filter),0.527958,42.189577,0.575352,4.9438
444,unet,0.069681,1.168635,0.091695,0.4333
445,noisy (no filter),0.526203,42.607311,0.576986,4.9194
445,unet,0.069463,1.377176,0.092176,0.5249
446,noisy (no filter),0.530978,42.794629,0.585495,4.9561
446,unet,0.071090,1.096739,0.097237,0.4089
447,noisy (no filter),0.525129,42.575372,0.572832,4.9377
447,unet,0.068068,1.185656,0.093853,0.4089
448,noisy (no filter),0.530133,41.892970,0.583364,4.9438
448,unet,0.073060,1.053427,0.094063,0.4211
449,noisy (no filter),0.525552,42.737992,0.578660,4.9438
449,unet,0.072977,1.231114,0.095052,0.4517
450,noisy (no filter),0.521598,42.152466,0.580254,4.9622
450,unet,0.068572,1.169567,0.092878,0.4578
451,noisy (no filter),0.527883,42.586183,0.577792,4.9622
451,unet,0.069926,1.314699,0.093421,0.4456
452,noisy (no filter),0.525801,43.294729,0.557018,4.9744
452,unet,0.072483,1.126775,0.094857,0.4517
453,noisy (no filter),0.525576,42.021738,0.584815,4.9561
453,unet,0.070513,1.104176,0.094664,0.4578
454,noisy (no filter),0.530786,42.058439,0.568540,4.9683
454,unet,0.071795,1.156420,0.093721,0.3723
455,noisy (no filter),0.524233,41.840940,0.576400,4.9561
455,unet,0.069655,1.124805,0.095346,0.4883
456,noisy (no filter),0.527966,42.706998,0.564719,4.9744
456,unet,0.070302,1.146599,0.092515,0.3723
457,noisy (no filter),0.522975,43.558361,0.567075,4.9683
457,unet,0.070293,1.314938,0.091036,0.4272
458,noisy (no filter),0.527336,42.498100,0.562750,4.9805
458,unet,0.069423,1.107385,0.091518,0.3723
459,noisy (no filter),0.526347,42.760051,0.577000,4.9561
459,unet,0.070832,1.342762,0.092116,0.4089
460,noisy (no filter),0.529377,42.719288,0.577442,4.9500
460,unet,0.068082,1.152797,0.092435,0.4822
461,noisy (no filter),0.529570,41.709888,0.575665,4.9744
461,unet,0.069850,1.177114,0.089338,0.3906
462,noisy (no filter),0.519123,41.975269,0.572726,4.9683
462,unet,0.069785,1.283973,0.092895,0.4761
463,noisy (no filter),0.523227,42.658588,0.579260,4.9683
463,unet,0.070311,1.471349,0.093777,0.5615
464,noisy (no filter),0.526830,42.368195,0.583588,4.9561
464,unet,0.070325,1.152548,0.093817,0.4150
465,noisy (no filter),0.530201,42.283449,0.580378,4.9683
465,unet,0.068947,1.264251,0.091559,0.3967
466,noisy (no filter),0.525169,42.193526,0.571472,4.9622
466,unet,0.070561,1.219210,0.093120,0.4578
467,noisy (no filter),0.527232,42.695097,0.566392,4.9805
467,unet,0.074429,1.210991,0.095564,0.3906
468,noisy (no filter),0.529032,42.696279,0.583681,4.9622
468,unet,0.067685,1.313823,0.091631,0.5493
469,noisy (no filter),0.525611,41.590549,0.561853,4.9561
469,unet,0.070898,1.201886,0.089129,0.5005
470,noisy (no filter),0.527384,42.647889,0.566607,4.9805
470,unet,0.071654,1.140037,0.094323,0.5127
471,noisy (no filter),0.528063,41.401787,0.618726,4.9622
471,unet,0.063382,1.427119,0.090666,0.1831
472,noisy (no filter),0.522590,42.614246,0.582957,4.9805
472,unet,0.068627,1.264860,0.090839,0.5066
473,noisy (no filter),0.530610,41.827495,0.570509,4.9500
473,unet,0.071940,1.116817,0.092924,0.3967
474,noisy (no filter),0.527414,43.324054,0.599399,4.9377
474,unet,0.069524,1.227707,0.092763,0.3845
475,noisy (no filter),0.522766,42.469299,0.561009,4.9683
475,unet,0.071746,1.154630,0.092241,0.4028
476,noisy (no filter),0.524227,42.129252,0.572074,4.9805
476,unet,0.070191,1.290086,0.094159,0.6592
477,noisy (no filter),0.527031,42.861668,0.560904,4.9561
477,unet,0.072929,1.099014,0.095610,0.3662
478,noisy (no filter),0.528468,41.970885,0.575866,4.9316
478,unet,0.070315,1.122338,0.092016,0.4517
479,noisy (no filter),0.527111,41.426365,0.568239,4.9744
479,unet,0.068436,1.122657,0.088987,0.4700
480,noisy (no filter),0.518687,41.990209,0.571471,4.9622
480,unet,0.071650,1.170637,0.094064,0.5493
481,noisy (no filter),0.535447,41.892514,0.587843,4.9683
481,unet,0.069075,1.126588,0.093409,0.4211
482,noisy (no filter),0.517366,42.714804,0.563045,4.9866
482,unet,0.069747,1.302705,0.091393,0.5493
483,noisy (no filter),0.523568,41.967919,0.551702,4.9438
483,unet,0.071229,1.142834,0.092338,0.4211
484,noisy (no filter),0.521548,41.571637,0.552495,4.9683
484,unet,0.072386,1.147697,0.096811,0.4822
485,noisy (no filter),0.528934,43.223945,0.579776,4.9805
485,unet,0.072198,1.309092,0.092077,0.4700
486,noisy (no filter),0.530148,42.911372,0.566818,4.9377
486,unet,0.071015,1.204210,0.094486,0.5615
487,noisy (no filter),0.519173,42.088872,0.600095,4.9622
487,unet,0.068635,1.226831,0.090495,0.4578
488,noisy (no filter),0.530802,42.759781,0.593967,4.9500
488,unet,0.069423,1.358517,0.093891,0.5615
489,noisy (no filter),0.526438,42.346968,0.565713,4.9561
489,unet,0.069262,1.346348,0.094221,0.6531
490,noisy (no filter),0.529658,42.589618,0.581987,4.9438
490,unet,0.070121,1.188649,0.089594,0.3967
491,noisy (no filter),0.524071,41.570150,0.596684,4.9438
491,unet,0.069987,1.137572,0.094550,0.5005
492,noisy (no filter),0.528856,41.909356,0.575994,4.9744
492,unet,0.068959,1.106360,0.093148,0.5432
493,noisy (no filter),0.531834,41.899697,0.586740,4.9500
493,unet,0.069835,1.065113,0.091366,0.4883
494,noisy (no filter),0.522680,43.203533,0.570627,4.9683
494,unet,0.071153,1.301454,0.095343,0.4578
495,noisy (no filter),0.521371,42.377867,0.572789,4.9805
495,unet,0.068735,1.109275,0.091630,0.5859
496,noisy (no filter),0.531172,42.239395,0.604153,4.9377
496,unet,0.070299,1.288402,0.094155,0.5310
497,noisy (no filter),0.527150,42.346769,0.564634,4.9805
497,unet,0.071039,1.084574,0.091168,0.4272
498,noisy (no filter),0.528648,43.126152,0.564662,4.9622
498,unet,0.073396,1.211027,0.094868,0.5493
