map,method,all_med,bad_med,bnd_med,gross_pct
45,noisy (no filter),0.531223,42.239886,0.566803,4.9438
45,unet,0.068231,1.262051,0.089541,0.5737
46,noisy (no filter),0.520903,42.951343,0.557435,4.9866
46,unet,0.068800,1.165713,0.091925,0.4883
47,noisy (no filter),0.524108,42.057026,0.557718,4.9438
47,unet,0.071004,1.117487,0.091455,0.3723
48,noisy (no filter),0.533619,41.781428,0.570647,4.9622
48,unet,0.072233,1.210470,0.095592,0.4211
49,noisy (no filter),0.535102,42.893610,0.606009,4.9744
49,unet,0.068445,1.137945,0.094006,0.4883
50,noisy (no filter),0.526143,41.836772,0.557896,4.9561
50,unet,0.070856,1.115208,0.097133,0.3174
51,noisy (no filter),0.528511,41.948588,0.577340,4.9744
51,unet,0.070951,1.049448,0.091280,0.4761
52,noisy (no filter),0.531334,43.261120,0.581518,4.9805
52,unet,0.070200,1.169846,0.092750,0.3967
53,noisy (no filter),0.525930,42.117680,0.578695,4.9622
53,unet,0.071004,1.296876,0.092592,0.4639
54,noisy (no filter),0.527365,42.484302,0.570903,4.9500
54,unet,0.068037,1.300592,0.089015,0.5798
55,noisy (no filter),0.525926,42.431448,0.570536,4.9683
55,unet,0.068943,1.256514,0.087931,0.4395
56,noisy (no filter),0.525884,41.960976,0.563217,4.9744
56,unet,0.069574,1.109397,0.093594,0.4578
57,noisy (no filter),0.528225,42.984308,0.585606,4.9622
57,unet,0.071441,1.214959,0.093355,0.5066
58,noisy (no filter),0.530368,42.197305,0.592302,4.9744
58,unet,0.069284,1.203137,0.092579,0.3906
59,noisy (no filter),0.524414,42.443734,0.582356,4.9683
59,unet,0.068435,1.291883,0.089640,0.4761
60,noisy (no filter),0.528393,42.814562,0.580493,4.9622
60,unet,0.071509,1.144467,0.093389,0.3906
61,noisy (no filter),0.535563,41.979205,0.587127,4.9805
61,unet,0.068931,1.220353,0.089024,0.3845
62,noisy (no filter),0.520505,41.416056,0.569580,4.9805
62,unet,0.068291,1.211123,0.092486,0.4700
